,WikipediaPageName,Coast
0,6ix9ine,East
1,9th Prince,East
2,22Gz,East
3,38 Spesh,East
4,The 45 King,East
5,50 Cent,East
6,60 Second Assassin (rapper),East
7,88-Keys,East
8,Sammy Adams,East
9,Adeem (rapper),East
10,Aesop Rock,East
11,Afu-Ra,East
12,Akir,East
13,Akrobatik,East
14,Alias (musician),East
15,Hoodie Allen,East
16,Amil,East
17,Antoinette (rapper),East
18,Aone Beats,East
19,Apache (rapper),East
20,Apathy (rapper),East
21,AR-Ab,East
22,AraabMuzik,East
23,Arkatech Beatz,East
24,M. K. Asante,East
25,Asheru,East
26,The Audible Doctor,East
27,Awkwafina,East
28,AZ (rapper),East
29,Apani B. Fly,East
30,DJ Babu,East
31,Bahamadia,East
32,Marty Baller,East
33,Charli Baltimore,East
34,Afrika Bambaataa,East
35,Bodega Bamz,East
36,Azealia Banks,East
37,Lloyd Banks,East
38,MC Paul Barman,East
39,Mark Batson,East
40,The Beat Bully,East
41,Jahlil Beats,East
42,Beedie (rapper),East
43,Benny the Butcher,East
44,Benzino,East
45,Big Body Bes,East
46,Big Daddy Kane,East
47,Big Pun,East
48,Big Shug,East
49,Bkorn,East
50,Black Child,East
51,Black Rob,East
52,Black Thought,East
53,Memphis Bleek,East
54,Blockhead (music producer),East
55,Action Bronson,East
56,Bronx Style Bob,East
57,Foxy Brown (rapper),East
58,Tommy Brown (record producer),East
59,Ron Browz,East
60,Buckshot (rapper),East
61,Buckwild (music producer),East
62,Joe Budden,East
63,Dai Burger,East
64,Cage (rapper),East
65,Crystal Caines,East
66,Call Me Ace,East
67,Cam'ron,East
68,Canibus,East
69,Don Cannon,East
70,Capella Grey,East
71,Capital Steez,East
72,Capone (rapper),East
73,Cappadonna,East
74,Kid Capri,East
75,Cardi B,East
76,Cardiak,East
77,Casanova (rapper),East
78,Cassidy (rapper),East
79,Grandmaster Caz,East
80,Cazwell,East
81,Lil' Cease,East
82,John Cena,East
83,Ceschi,East
84,DJ Charlie Chase,East
85,Chinx,East
86,DJ Chuck Chillout,East
87,Chyskillz,East
88,CJ (rapper),East
89,Clams Casino (musician),East
90,Sean Combs,East
91,Consequence (rapper),East
92,Conway the Machine,East
93,Cool C,East
94,Cordae,East
95,Cousin Stizz,East
96,Keef Cowboy,East
97,Jay Critch,East
98,Cuban Link,East
99,D-Nice,East
100,Daddy-O (rapper),East
101,Danger Mouse (musician),East
102,Danny Boy (rapper),East
103,Dash (rapper),East
104,Desiigner,East
105,Diabolic (rapper),East
106,Kosha Dillz,East
107,Flipp Dinero,East
108,Disco King Mario,East
109,DJ Disco Wiz,East
110,DMX,East
111,Tim Dog,East
112,B. Dolan,East
113,Don Q (rapper),East
114,MF Doom,East
115,Dot da Genius,East
116,Drag-On,East
117,DJ Drama,East
118,Dub-L,East
119,Dutch ReBelle,East
120,DVLP,East
121,Smoke DZA,East
122,E.D.I. Mean,East
123,East Flatbush Project,East
124,Dave East,East
125,Ed O.G.,East
126,El-P,East
127,Eric B.,East
128,Esoteric (rapper),East
129,Eve (rapper),East
130,Eyenine,East
131,Fabolous,East
132,Mickey Factz,East
133,Fat Joe,East
134,Hussein Fatal,East
135,Felly,East
136,ASAP Ferg,East
137,Grandmaster Flash,East
138,CJ Fly,East
139,Focus...,East
140,Q Da Fool,East
141,Fivio Foreign,East
142,Freddie Foxxx,East
143,Njena Reddd Foxxx,East
144,Sage Francis,East
145,Harry Fraud,East
146,Fred the Godson,East
147,Freekey Zekey,East
148,Frenchie (rapper),East
149,Fresh Kid Ice,East
150,Doug E. Fresh,East
151,Funkmaster Flex,East
152,Ty Fyffe,East
153,G Koop,East
154,Heather B. Gardner,East
155,Mic Geronimo,East
156,GFMBryyce,East
157,Ghostface Killah,East
158,Godfather Don,East
159,Irv Gotti,East
160,Jean Grae,East
161,Grafh,East
162,Dame Grease,East
163,MF Grimm,East
164,Cory Gunz,East
165,Guru (rapper),East
166,GZA,East
167,Half a Mill,East
168,Sleepy Hallow,East
169,Charles Hamilton (rapper),East
170,Andre Harrell,East
171,Havoc (musician),East
172,Emile Haynie,East
173,Heavy D,East
174,Hell Rell,East
175,Samuel T. Herring,East
176,Chad Hugo,East
177,DJ Hurricane,East
178,Ice Spice,East
179,Ill Bill,East
180,Inspectah Deck,East
181,Islord,East
182,J.I the Prince of N.Y,East
183,J57 (rapper),East
184,Ja Rule,East
185,Jadakiss,East
186,Ms. Jade,East
187,Mike Jaggerr,East
188,Jam Master Jay,East
189,Jasiri X,East
190,Jay-Z,East
191,Jaz-O,East
192,MC Jazzy Jeff,East
193,DJ Jazzy Joyce,East
194,MC Jin,East
195,Jipsta,East
196,Joey Badass,East
197,Chilla Jones,East
198,Serius Jones,East
199,JPEGMafia,East
200,Junglepussy,East
201,Just Blaze,East
202,Just-Ice,East
203,Ka$hdami,East
204,Kangol Kid,East
205,Kastro (rapper),East
206,DJ Kay Slay,East
207,Kemba (rapper),East
208,Jamie Kennedy,East
209,Wiz Khalifa,East
210,Killa Sin,East
211,Kirk Knight,East
212,Tate Kobang,East
213,Kool G Rap,East
214,Kool Moe Dee,East
215,KRS-One,East
216,Talib Kweli,East
217,Big L,East
218,Coke La Rock,East
219,Scott La Rock,East
220,Lady B,East
221,Lady Crush,East
222,Al Sherrod Lambert,East
223,Lamiere,East
224,Knero Lapaé,East
225,Larry Larr,East
226,Sabor Latino,East
227,Lee on the Beats,East
228,HeeSun Lee,East
229,Trip Lee,East
230,Le1f,East
231,Johan Lenox,East
232,Coi Leray,East
233,Alrad Lewis,East
234,Rob Lewis (record producer),East
235,Mr. Lif,East
236,Like (record producer),East
237,Lil Dicky,East
238,Lil Mama,East
239,Lil Peep,East
240,Lil Tjay,East
241,Lil' Kim,East
242,Lin Que,East
243,Ex-plicit linez,East
244,Dusty Locane,East
245,Nicholas Loftin,East
246,DJ Logic,East
247,Sheek Louch,East
248,Louis Logic,East
249,Ed Lover,East
250,Jan Lucanus,East
251,Joyner Lucas,East
252,MC Lyte,East
253,M-Dot,East
254,Remy Ma,East
255,China Mac,East
256,Mach-Hommy,East
257,Craig Mack,East
258,Kellee Maize,East
259,Malik B.,East
260,Roc Marciano,East
261,Biz Markie,East
262,Marley Marl,East
263,Brother Marquis,East
264,Skizzy Mars,East
265,Theo Martins,East
266,Mase,East
267,Masta Killa,East
268,Mathematics (producer),East
269,Ivan Matias,East
270,Lady May (rapper),East
271,Darryl McDaniels,East
272,McGruff (rapper),East
273,Megahertz (record producer),East
274,Melle Mel,East
275,Method Man,East
276,Mike D,East
277,Mikey D,East
278,Derrick Milano,East
279,Meek Mill,East
280,Mac Miller,East
281,Jae Millz,East
282,Mims (rapper),East
283,Andy Mineo,East
284,Mr. Muthafuckin' eXquire,East
285,Mr. Mixx,East
286,Easy Mo Bee,East
287,Pharoahe Monch,East
288,French Montana,East
289,Mos Def,East
290,Ali Shaheed Muhammad,East
291,Uncle Murda,East
292,Keith Murray,East
293,Myzery,East
294,N.O.R.E.,East
295,Nas,East
296,ASAP Nast,East
297,Necro (rapper),East
298,Bishop Nehru,East
299,Neo da Matrix,East
300,Nine (rapper),East
301,Nitty (musician),East
302,No Malice,East
303,Young Noble,East
304,NOE (rapper),East
305,Princess Nokia,East
306,The Notorious B.I.G.,East
307,O.C. (rapper),East
308,Ol' Dirty Bastard,East
309,Shaquille O'Neal,East
310,Oompa (rapper),East
311,Joell Ortiz,East
312,Styles P,East
313,Prince Paul (producer),East
314,Felicia Pearson,East
315,Pepa (rapper),East
316,Percee P,East
317,Pete Rock,East
318,Petey Pablo,East
319,Thee Phantom,East
320,Phife Dawg,East
321,Stelios Phili,East
322,Jamal Phillips,East
323,Phresher,East
324,Pras,East
325,DJ Premier,East
326,Sean Price,East
327,Prince Whipper Whip,East
328,Princess Superstar,East
329,Prodigy (rapper),East
330,Large Professor,East
331,Prolyphic,East
332,Pumpkinhead (rapper),East
333,Pusha T,East
334,Q-Tip (musician),East
335,Queen Latifah,East
336,Queen Pen,East
337,Radamiz,East
338,Rah Swish,East
339,Rakim,East
340,Kyle Rapps,East
341,Hell Razah,East
342,Oryn the Rebel,East
343,Red Café,East
344,Redman (rapper),East
345,Reks,East
346,Salaam Remi,East
347,Moshe Reuven,East
348,Busta Rhymes,East
349,DJ Richie Rich,East
350,Chubb Rock,East
351,Rockwilder,East
352,ASAP Rocky,East
353,Roscoe (rapper),East
354,Asher Roth,East
355,Elle Royal,East
356,David Rush (rapper),East
357,RZA,East
358,Sadat X,East
359,Saga (rapper),East
360,Saigon (rapper),East
361,Salt (rapper),East
362,Juelz Santana,East
363,Sauce Money,East
364,Scar Lip,East
365,Schoolly D,East
366,Jill Scott (singer),East
367,DJ Scratch,East
368,Sensational (musician),East
369,Sensato del Patio,East
370,Erick Sermon,East
371,Sha Money XL,East
372,Jonathan Shecter,East
373,Sheff G,East
374,Bobby Shmurda,East
375,Shock G,East
376,Kiing Shooter,East
377,Shyne,East
378,Beanie Sigel,East
379,Silkski,East
380,Siya,East
381,DJ Skee,East
382,Lil Skies,East
383,Skinnyfromthe9,East
384,Slaine (rapper),East
385,Rashad Smith (producer),East
386,Will Smith,East
387,Pop Smoke,East
388,CL Smooth,East
389,Sam Sneed,East
390,Sole (hip hop artist),East
391,Sonaro,East
392,Souleye (hip hop artist),East
393,Spank Rock,East
394,Special K (rapper),East
395,Jimmy Spicer,East
396,Spoonie Gee,East
397,Spose,East
398,Busy Bee Starski,East
399,Statik Selektah,East
400,Stezo,East
401,David Stones,East
402,Street Life (rapper),East
403,DJ Stretch Armstrong,East
404,Mike Stud,East
405,Swizz Beatz,East
406,Yhaunai Takiyal,East
407,Teyana Taylor,East
408,Lil Tecca,East
409,Sweet Tee,East
410,Termanology,East
411,Token (rapper),East
412,Tone Trump,East
413,Tha Trademarc,East
414,Treach,East
415,Turbo B,East
416,ASAP Twelvyy,East
417,U-God,East
418,Vado (rapper),East
419,Justina Valentine,East
420,Ali Vegas,East
421,Vinylz,East
422,Fetty Wap,East
423,Ohmega Watts,East
424,Chris Webby,East
425,DJ Webstar,East
426,Sheck Wes,East
427,Westside Gunn,East
428,Tierra Whack,East
429,DJ Whoo Kid,East
430,Billy Drease Williams,East
431,Saul Williams,East
432,Tyler James Williams,East
433,Wise (musician),East
434,Chevy Woods,East
435,Jimmy Wopo,East
436,Wordsworth (rapper),East
437,J.R. Writer,East
438,Wyldfyer,East
439,Tony Yayo,East
440,Young Chris,East
441,Young M.A,East
442,Young Music DYMG,East
443,Younglord,East
444,Nosson Zand,East
445,ZillaKami,East
446,Mike Zombie,East
447,03 Greedo,West
448,24kGoldn,West
449,40 Glocc,West
450,A-Plus (rapper),West
451,DJ A-Tron,West
452,Ab-Soul,West
453,Abstract Rude,West
454,Aceyalone,West
455,Afroman,West
456,Ahmad (rapper),West
457,Ak'Sent,West
458,The Alchemist (musician),West
459,AMG (rapper),West
460,Aminé (rapper),West
461,Antwon,West
462,Aztlan Underground,West
463,B-Legit,West
464,B-Real,West
465,B.G. Knocc Out,West
466,Show Banga,West
467,Ant Banks,West
468,Sho Baraka,West
469,Bavgate,West
470,Becky G,West
471,Beeda Weeda,West
472,Beefy (rapper),West
473,Berner (rapper),West
474,Big B (rapper),West
475,Big Dave (rapper),West
476,Big Ed (rapper),West
477,Big Fase 100,West
478,Bizzle,West
479,Aloe Blacc,West
480,Black Pegasus,West
481,Guerilla Black,West
482,Nissim Black,West
483,Toni Blackman,West
484,Blueface,West
485,Blxst,West
486,Bones (rapper),West
487,Braille (musician),West
488,Buddy (rapper),West
489,Busdriver,West
490,Scott Caan,West
491,Sway Calloway,West
492,Nick Cannon,West
493,Captain Save 'Em,West
494,Clyde Carson,West
495,Celestaphone,West
496,DJ Cheapshot,West
497,Tha Chill,West
498,Shawn Chrystopher,West
499,Chanel West Coast,West
500,Conceit (rapper),West
501,Coolio,West
502,Cozz,West
503,Crooked I,West
504,Omega Crosby,West
505,Cut Chemist,West
506,D-Loc,West
507,The D.O.C.,West
508,Daddy X,West
509,DJ Dahi,West
510,Dazzie Dee,West
511,DB Tha General,West
512,Del the Funky Homosapien,West
513,Timothy DeLaGhetto,West
514,Demrick,West
515,Den Fenn,West
516,Scoop DeVille,West
517,Daz Dillinger,West
518,Nate Dogg,West
519,Snoop Dogg,West
520,Dolla Will,West
521,Domino (rapper),West
522,Drakeo the Ruler,West
523,Dr. Dre,West
524,Droop-E,West
525,DTTX (rapper),West
526,Dubb 20,West
527,Dumbfoundead,West
528,Duna (rapper),West
529,E-40,West
530,Eazy-E,West
531,MC Eiht,West
532,Eprhyme,West
533,Evidence (musician),West
534,Exile (producer),West
535,Fashawn,West
536,Fatlip,West
537,Joey Fatts,West
538,Kevin Federline,West
539,Roshon Fegan,West
540,JT the Bigga Figga,West
541,Flash Bang Grenada,West
542,Flying Lotus,West
543,Shawn Fonteno,West
544,Foreknown (rapper),West
545,Dave Free,West
546,Mike Free,West
547,Fresh Kid Ice,West
548,DJ Fresh (American DJ),West
549,MC Frontalot,West
550,Frost (rapper),West
551,Futuristic (rapper),West
552,The Futuristics,West
553,G-Nut,West
554,G-Stack,West
555,The Game (rapper),West
556,GaTa,West
557,O.T. Genasis,West
558,Domo Genesis,West
559,Getter (DJ),West
560,Gift of Gab (rapper),West
561,Grieves,West
562,Haiku d'Etat,West
563,Hi-C (rapper),West
564,Adam Hicks,West
565,Hit-Boy,West
566,Hittman,West
567,Hodgy,West
568,Hopsin,West
569,Hot Rod (rapper),West
570,Houston (singer),West
571,Brotha Lynch Hung,West
572,Hurt-M-Badd,West
573,Nipsey Hussle,West
574,Skhye Hutch,West
575,Iame (rapper),West
576,Iamsu!,West
577,Ice Cube,West
578,Ice-T,West
579,ILoveMakonnen,West
580,The Jacka,West
581,Jake One,West
582,Noa James,West
583,Jel (music producer),West
584,Jeff Jericho,West
585,JGivens,West
586,JHawk,West
587,Sir Jinx,West
588,Hobo Johnson,West
589,Judge Da Boss,West
590,Self Jupiter,West
591,K-the-I???,West
592,Kam (rapper),West
593,Kaveo,West
594,Keak da Sneak,West
595,Baby Keem,West
596,Dom Kennedy,West
597,DJ Khalil,West
598,Kid Ink,West
599,Killa Keise,West
600,DJ King Assassin,West
601,King Lil G,West
602,King Tech,West
603,King T,West
604,Curtiss King,West
605,Rydah J. Klyde,West
606,Knightowl,West
607,Knxwledge,West
608,Kokane,West
609,Kossisko,West
610,Kreayshawn,West
611,Krondon,West
612,Kurupt,West
613,Kyle (musician),West
614,Kendrick Lamar,West
615,Bishop Lamont,West
616,MC Lars,West
617,Laz-D,West
618,Lecrae,West
619,Lefty (rapper),West
620,Shorty (American rapper),West
621,Lil B,West
622,Lil Coner,West
623,Lil Debbie,West
624,Lil' Fizz,West
625,Lil Italy,West
626,Lil Ric,West
627,Lil Rob,West
628,Lil Uno,West
629,Lil Xan,West
630,Lil' C-Style,West
631,Amber Liu (singer),West
632,Locksmith (rapper),West
633,LoveRance,West
634,Luni Coleone,West
635,Mac Dre,West
636,CJ Mac,West
637,Mack 10,West
638,Macklemore,West
639,Madlib,West
640,Mac Mall,West
641,Glasses Malone,West
642,Mann (rapper),West
643,Mayne Mannish,West
644,Brother Marquis,West
645,Terrace Martin,West
646,Young Maylay,West
647,Trevor McFedries,West
648,Mr. J. Medeiros,West
649,Eli Meltzer,West
650,Messy Marv,West
651,Miami (rapper),West
652,Cymphonique Miller,West
653,Mistah F.A.B.,West
654,Mix Master Mike,West
655,Mr. Mixx,West
656,Slim the Mobster,West
657,KC Montero,West
658,Jonathan Moore (musician),West
659,Lil Mosey,West
660,Mr. Capone-E,West
661,Mr. Skrillz,West
662,Mugzi,West
663,Murs (rapper),West
664,Myka 9,West
665,Emcee N.I.C.E.,West
666,Nappy Nina,West
667,Shady Nate,West
668,Nichkhun,West
669,Damani Nkosi,West
670,Nobody (producer),West
671,Nocando,West
672,Cool Nutz,West
673,O.Y.G Redrum 781,West
674,Oh No (musician),West
675,OhGeesy,West
676,Only Won,West
677,Paris (rapper),West
678,Jay Park,West
679,Teddy Park,West
680,Passion (rapper),West
681,Peace (rapper),West
682,J Peezy,West
683,Dudley Perkins (rapper),West
684,Phats Bossi,West
685,Phil Da Agony,West
686,Playalitical,West
687,Pooh-Man,West
688,Vidal Prevost,West
689,Problem (rapper),West
690,Prodeje,West
691,Psychosiz,West
692,Punch (rapper),West
693,Schoolboy Q,West
694,Quazedelic,West
695,DJ Quik,West
696,San Quinn,West
697,Captain Rapp,West
698,Rappin' 4-Tay,West
699,Ras Kass,West
700,RBX,West
701,Reason (American rapper),West
702,Red Cloud (rapper),West
703,Redfoo,West
704,RiceGum,West
705,The Real Richie Rich,West
706,Boots Riley,West
707,Ash Riser,West
708,RJ (rapper),West
709,Jay Rock,West
710,V. Rose,West
711,Sadistik,West
712,Sage the Gemini,West
713,Saint Dog,West
714,Saweetie,West
715,Seagram (rapper),West
716,Amanda Seales,West
717,Tupac Shakur,West
718,Mac Shawn,West
719,Shade Sheist,West
720,Mike Shinoda,West
721,Too Short,West
722,Shorty Mack,West
723,Shwayze,West
724,Dom Sicily,West
725,Raz Simone,West
726,Sir Mix-a-Lot,West
727,Skee-Lo,West
728,Skeme,West
729,Skinhead Rob,West
730,Alex Skolnick,West
731,Sky Blu (rapper),West
732,Sleep (rapper),West
733,Sleep Dank,West
734,Mitchy Slick,West
735,Slimkid3,West
736,Slip Capone,West
737,Slow Pain,West
738,Na-Kel Smith,West
739,D Smoke,West
740,Smooth (singer),West
741,Snow Tha Product,West
742,Snupe,West
743,Soopafly,West
744,Sounwave,West
745,Speak!,West
746,Spice 1,West
747,Spider Loc,West
748,Vince Staples,West
749,Parlay Starr,West
750,Rob Stone (rapper),West
751,Stressmatic,West
752,Stunnaman,West
753,Suga Free,West
754,Suga-T,West
755,Earl Sweatshirt,West
756,SwinDoe,West
757,Syd (singer),West
758,Big Syke,West
759,T-Pup,West
760,Ali Tabatabaee,West
761,Taboo (rapper),West
762,Tairrie B,West
763,Tanna Leone,West
764,Tap Dat Ass,West
765,Tedashii,West
766,TeeFlii,West
767,Thurz,West
768,Tiger JK,West
769,Time (rapper),West
770,Ms. Toi,West
771,Tone Loc,West
772,Isaiah Toothtaker,West
773,Channel Tres,West
774,MC Trouble,West
775,Ty Dolla Sign,West
776,"Tyler, the Creator",West
777,The Unknown DJ,West
778,V-Nasty,West
779,V-White,West
780,Casey Veggies,West
781,Bryce Vine,West
782,Warren G,West
783,WC (rapper),West
784,Tim'm T. West,West
785,Willie B (producer),West
786,Dizzy Wright,West
787,Xzibit,West
788,Ya Boy,West
789,Yeat,West
790,YG (rapper),West
791,YGD Tha Top Dogg,West
792,Yo-Yo (rapper),West
793,MC Yogi,West
794,Young Chozen,West
795,Young Dru,West
796,Young L,West
797,Yukmouth,West
798,Arif Zahir,West
799,Zealous1,West
800,Asaiah Ziv,West
