,In-Name,In-Connections,In-Violence,Out-Name,Out-Connections,Out-Violence
0,Pac-Man,172,0.2977272727272728,Pac-Man,47,0.2977272727272728
1,Tetris,126,0.2806818181818182,Rare Replay,31,0.26477272727272727
2,Super Mario Bros.,111,0.4613636363636363,Donkey Kong Country,29,0.4102272727272727
3,Super Smash Bros. Ultimate,110,0.4000000000000001,Street Fighter II,28,0.35795454545454547
4,Street Fighter II,104,0.35795454545454547,Pac-Man 99,26,0.31931818181818183
5,Myst,97,0.36363636363636365,Donkey Kong (arcade game),26,0.32840909090909093
6,Minecraft,86,0.4738636363636363,The Legend of Zelda: Breath of the Wild,25,0.3681818181818182
7,Space Invaders,84,0.5056818181818182,Super Mario Kart,23,0.35113636363636364
8,Final Fantasy VII,84,0.5136363636363637,Knight Lore,23,0.5170454545454546
9,Super Mario 64,83,0.45454545454545453,Luigi's Mansion,23,0.4613636363636363
